FrogID,Treatment,Frog.Mass..grams.,SVL..millimeters.,week,its
14,NA,3.65,38,3,11647.02007
14,NA,3.65,38,4,2989.62027
14,NA,3.65,38,5,4473.976533
14,NA,3.65,38,6,13623.6543
14,NA,3.65,38,7,405.3500475
14,NA,3.65,38,8,888.59512
14,NA,3.65,38,9,2173.360387
14,NA,3.65,38,10,1288.57727
14,NA,3.65,38,11,839.7935741
14,NA,3.65,38,12,637.9117748
14,NA,3.65,38,13,995.353615
15,NA,6.23,46,1,0
15,NA,6.23,46,2,0
15,NA,6.23,46,3,1437.5343
15,NA,6.23,46,4,0
15,NA,6.23,46,5,17671.24975
15,NA,6.23,46,6,13113.80807
15,NA,6.23,46,7,13066.23954
15,NA,6.23,46,8,65015.02997
15,NA,6.23,46,9,14043.62013
15,NA,6.23,46,10,1545.030892
15,NA,6.23,46,11,2202.358164
15,NA,6.23,46,12,40480.91932
15,NA,6.23,46,13,8282.365567
16,NA,8.18,50.75,1,315.2022103
16,NA,8.18,50.75,2,0
16,NA,8.18,50.75,3,0
16,NA,8.18,50.75,4,0
16,NA,8.18,50.75,5,0
16,NA,8.18,50.75,6,0
16,NA,8.18,50.75,7,0
16,NA,8.18,50.75,8,0
16,NA,8.18,50.75,9,0
16,NA,8.18,50.75,10,0
16,NA,8.18,50.75,11,0
16,NA,8.18,50.75,12,0
16,NA,8.18,50.75,13,0
17,NA,6.62,44.25,1,9298.100864
17,NA,6.62,44.25,2,2024.218117
17,NA,6.62,44.25,3,14445.53279
17,NA,6.62,44.25,4,49004.816
17,NA,6.62,44.25,5,83046.3882
17,NA,6.62,44.25,6,29930.58063
17,NA,6.62,44.25,7,7789.885614
17,NA,6.62,44.25,8,55315.31497
17,NA,6.62,44.25,9,54316.10295
17,NA,6.62,44.25,10,17952.48897
17,NA,6.62,44.25,11,6556.324319
17,NA,6.62,44.25,12,51475.83363
17,NA,6.62,44.25,13,28080.34358
18,NA,7.31,47.5,1,NA
18,NA,7.31,47.5,2,NA
18,NA,7.31,47.5,3,NA
18,NA,7.31,47.5,4,NA
18,NA,7.31,47.5,5,NA
18,NA,7.31,47.5,6,NA
18,NA,7.31,47.5,7,NA
18,NA,7.31,47.5,8,NA
18,NA,7.31,47.5,9,NA
18,NA,7.31,47.5,10,NA
18,NA,7.31,47.5,11,NA
18,NA,7.31,47.5,12,NA
18,NA,7.31,47.5,13,NA
19,NA,6.1,45.5,1,274.5772087
19,NA,6.1,45.5,2,0
19,NA,6.1,45.5,3,400.5208079
19,NA,6.1,45.5,4,0
19,NA,6.1,45.5,5,0
19,NA,6.1,45.5,6,0
19,NA,6.1,45.5,7,0
19,NA,6.1,45.5,8,0
19,NA,6.1,45.5,9,0
19,NA,6.1,45.5,10,0
19,NA,6.1,45.5,11,0
19,NA,6.1,45.5,12,0
19,NA,6.1,45.5,13,0
20,NA,5.73,44,1,8.865917131
20,NA,5.73,44,2,222.6339239
20,NA,5.73,44,3,0
20,NA,5.73,44,4,0
20,NA,5.73,44,5,0
20,NA,5.73,44,6,0
20,NA,5.73,44,7,0
20,NA,5.73,44,8,0
20,NA,5.73,44,9,0
20,NA,5.73,44,10,0
20,NA,5.73,44,11,0
20,NA,5.73,44,12,0
20,NA,5.73,44,13,0
21,NA,4.09,43.5,1,0
21,NA,4.09,43.5,2,0
21,NA,4.09,43.5,3,0
21,NA,4.09,43.5,4,2810.283304
21,NA,4.09,43.5,5,5004.372366
21,NA,4.09,43.5,6,7446.683661
21,NA,4.09,43.5,7,18350.72152
21,NA,4.09,43.5,8,16916.38745
21,NA,4.09,43.5,9,65587.96624
21,NA,4.09,43.5,10,33263.26716
21,NA,4.09,43.5,11,65438.35633
21,NA,4.09,43.5,12,13723.32692
21,NA,4.09,43.5,13,7374.777307
22,NA,2.43,33,1,17547.26297
22,NA,2.43,33,2,8.667733333
22,NA,2.43,33,3,2.021931129
22,NA,2.43,33,4,0
22,NA,2.43,33,5,0
22,NA,2.43,33,6,0
22,NA,2.43,33,7,0
22,NA,2.43,33,8,0
22,NA,2.43,33,9,0
22,NA,2.43,33,10,0
22,NA,2.43,33,11,0
22,NA,2.43,33,12,0
22,NA,2.43,33,13,0
23,NA,2.51,35,1,0
23,NA,2.51,35,2,0
23,NA,2.51,35,3,3061.922912
23,NA,2.51,35,4,0
23,NA,2.51,35,5,2041.697497
23,NA,2.51,35,6,19057.002
23,NA,2.51,35,7,24292.30936
23,NA,2.51,35,8,6466.263907
23,NA,2.51,35,9,5718.286422
23,NA,2.51,35,10,5834.928074
23,NA,2.51,35,11,15447.07002
23,NA,2.51,35,12,9554.666868
23,NA,2.51,35,13,8663.73211
24,prior exposure heat,1.84,31,0,0
24,prior exposure heat,1.84,31,1,3533.362766
24,prior exposure heat,1.84,31,2,6961.932615
24,prior exposure heat,1.84,31,3,17309.48745
24,prior exposure heat,1.84,31,4,7165.174717
24,prior exposure heat,1.84,31,5,16412.01066
24,prior exposure heat,1.84,31,6,79805.67771
24,prior exposure heat,1.84,31,7,28429.013
24,prior exposure heat,1.84,31,8,4666.583308
24,prior exposure heat,1.84,31,9,312462.6099
24,prior exposure heat,1.84,31,10,10669865.71
24,prior exposure heat,1.84,31,11,NA
24,prior exposure heat,1.84,31,12,NA
24,prior exposure heat,1.84,31,13,NA
25,prior exposure heat,1.98,33,0,0
25,prior exposure heat,1.98,33,1,0
25,prior exposure heat,1.98,33,2,69.49689304
25,prior exposure heat,1.98,33,3,1203.550951
25,prior exposure heat,1.98,33,4,14470.81326
25,prior exposure heat,1.98,33,5,2912.676875
25,prior exposure heat,1.98,33,6,83892.71745
25,prior exposure heat,1.98,33,7,60142.5468
25,prior exposure heat,1.98,33,8,15354.04044
25,prior exposure heat,1.98,33,9,6030.592848
25,prior exposure heat,1.98,33,10,15575.7635
25,prior exposure heat,1.98,33,11,11619.3228
25,prior exposure heat,1.98,33,12,40765.29062
25,prior exposure heat,1.98,33,13,10074.13849
26,prior exposure heat,1.99,34,0,0
26,prior exposure heat,1.99,34,1,203.2037878
26,prior exposure heat,1.99,34,2,121.3152352
26,prior exposure heat,1.99,34,3,5779.933647
26,prior exposure heat,1.99,34,4,4120.362097
26,prior exposure heat,1.99,34,5,3463.788161
26,prior exposure heat,1.99,34,6,15115.72225
26,prior exposure heat,1.99,34,7,4380.557641
26,prior exposure heat,1.99,34,8,6341.262566
26,prior exposure heat,1.99,34,9,492.918712
26,prior exposure heat,1.99,34,10,0
26,prior exposure heat,1.99,34,11,0
26,prior exposure heat,1.99,34,12,0
26,prior exposure heat,1.99,34,13,0
27,prior exposure heat,5.95,46,0,0
27,prior exposure heat,5.95,46,1,NA
27,prior exposure heat,5.95,46,2,NA
27,prior exposure heat,5.95,46,3,NA
