Animal.ID,Treatment,Dosage,Sex,Room.Number,Tank.Number,Day.3,Day.7,Day.10,Day.14,Day.17,Day.21,Day.23,Day.28,Day.30,Day.35,Day.38,Day.42,Day.45,Day.49,Day.52,Day.56,Day.59,Day.63,Day.66,Day.70,Day.73,Day.77,Day.80,Day.84,Day.87,Day.91,Day.95,Day.98,Day.105,Day.112,Day.119,Day.126,Day.135
5276,Topical,Low,Male,C1077,4,0,0,0,0,8809.2,550353,97593.6,2659050.6,37377,226132.8,4731.9,29081.1,29280.6,29367,88413.6,56164.2,54998.4,204161.4,0,0,85921.2,37167.3,107299.2,173783.4,44371.8,14764.5,0,28158.6,11252.1,183399.3,215264.1,3323777.7,1200
5721,Topical,Low,Male,C1077,2,0,0,0,0,0,0,0,181993.5,63336,1200,600,2426099.4,102187.8,840981.9,34130.7,280812.6,8325.3,94408.5,29667,153132.3,132049.2,57127.5,219407.7,56189.7,0,0,10797.9,27753.3,127392.3,1982977.5,2688238.5,86343693.9,15600
6079,Topical,Low,Male,C1077,3,0,0,0,0,19557.6,22286.7,1200,6431352,3600,300,12267,14135.1,37076.7,41371.8,0,51971.4,130817.1,30420.9,0,13077.9,51900.3,196401.3,35283,190771.2,21162,665291.1,112156.5,221532.3,12951044.4,10553353.2,128770631.4,25617243.9,7800
6350,Topical,Low,Female,C1077,1,0,0,0,0,0,0,0,81981.6,76786.8,300,1200,70531.8,278118.6,33874.2,246508.8,109339.5,0,22749.3,9232.5,0,33478.5,125230.8,33665.7,1337226,2700,6589834.5,2100,14590326.6,3150056.4,4604913,6489402,7443261.3,1200
6990,Topical,Low,Male,C1077,3,0,0,0,0,0,7455.6,90597.9,21634.5,261537.6,6600,1800,27426.3,57619.2,0,0,28539.3,0,47784,148046.4,5685.6,22945.8,6676.2,119389.2,643246.5,900,610117.8,3300,6073460.7,2840768.7,2951323.5,3554079,1290614.1,226468.8
7381,Topical,Low,Male,C1077,4,0,0,0,0,15172.8,78143.4,32823.3,812749.8,89260.2,3600,1800,6300,714720,139454.7,300,359759.4,219299.4,329469.6,111645.9,61184.7,0,44509.5,27178.2,46296.3,57694.2,7407.9,3076.2,35274,14066.1,19481.4,16842.6,298654.5,1500
7802,Topical,Low,Male,C1077,2,0,0,0,0,0,0,126203.4,562836.9,300,1500,300,252046.5,17185.8,28543.8,8178.3,0,0,16666.2,32077.5,32926.8,21826.5,52971.3,10166.4,9982.8,3285.6,22980.6,15241.2,39531,11073.9,421481.4,19509782.7,242011875,31800
8329,Topical,Low,Male,C1077,1,0,0,0,0,0,0,0,0,28299.6,1200,1800,1259937.9,5351.4,15561.9,25562.1,4293.9,64247.1,136439.7,186717.9,101522.4,109874.4,324248.7,105063.9,506677.2,6000,5748857.1,4800,42111248.4,60462984.3,,,,
8351,Topical,Low,Female,C1077,3,0,0,0,31226.4,212719.5,23250.6,230868.6,20916440.7,300,1800,300,342101.1,66312,77934.9,142119.6,75224.4,130606.2,412131.6,221533.2,161948.7,147598.5,217472.4,182351.1,685432.5,600,984155.4,14400,1287531.3,24411004.8,15563484.3,146857387.5,46030275,287567.7
8573,Topical,Low,Male,C1077,2,0,0,0,0,0,10060.8,99165.3,26840.7,600,4200,4200,2047326.9,8061.9,0,0,22837.8,13184.4,0,19128.9,0,0,6515.7,0,0,6959.1,0,0,6710.4,25862.7,2419646.1,16153596,47334632.7,13500
8728,Topical,Low,Female,C1077,2,0,0,0,0,0,6930.6,189465.6,291810.3,107127,1800,300,249029.7,175046.1,6674.4,21773.7,52950,164591.1,18917.7,7575.6,40461.6,57581.4,206724.9,67158,28682.1,3396.6,0,2496.6,20928.9,12906.9,1357366.5,16606185.9,105413034.3,12000
