Tadpole,Fungicide,Bd Trt,Infection Stage at time of swab,Swab_Time,Initial Mass ,Initial Stage,Final Life Stage,Tadpole Final Mass,Tadpole Final Stage,Tadpole Final SVL,Mass at Meta,Date of Meta,Day Of Meta,Death Date,Last_Day_in_Expt,Bd_load,Log Bd,Swab Time,Prev
135,Mancozeb,Both,Exposed,Pre Expo 2,0.208,25,Meta,,,,0.238,23/11/2012,52,,213,0,0,Pre Expo 2,0
135,Mancozeb,Both,Exposed 2,Mid_Survey,0.208,25,Meta,,,,0.238,23/11/2012,52,,213,0,0,Mid Survey,0
137,Control,Both,Exposed,Metamorphosis,0.377,34,Meta,,,,0.215,15/10/2012,13,,213,0,0,Metamorphosis,0
137,Control,Both,Exposed,Pre Expo 2,0.377,34,Meta,,,,0.215,15/10/2012,13,,213,0,0,Pre Expo 2,0
137,Control,Both,Exposed 2,Mid_Survey,0.377,34,Meta,,,,0.215,15/10/2012,13,,213,0,0,Mid Survey,0
139,Azoxystrobin,Both,Exposed,Metamorphosis,0.282,32,Meta,,,,0.174,31/10/2012,29,,213,160.4676366,5.078092281,Metamorphosis,1
139,Azoxystrobin,Both,Exposed,Pre Expo 2,0.282,32,Meta,,,,0.174,31/10/2012,29,,213,0,0,Pre Expo 2,0
139,Azoxystrobin,Both,Exposed 2,Mid_Survey,0.282,32,Meta,,,,0.174,31/10/2012,29,,213,0,0,Mid Survey,0
143,Chlorothalonil,Both,Exposed,Metamorphosis,0.547,34,Meta,,,,0.234,15/10/2012,13,,213,0,0,Metamorphosis,0
143,Chlorothalonil,Both,Exposed,Pre Expo 2,0.547,34,Meta,,,,0.234,15/10/2012,13,,213,0,0,Pre Expo 2,0
143,Chlorothalonil,Both,Exposed 2,Mid_Survey,0.547,34,Meta,,,,0.234,15/10/2012,13,,213,0,0,Mid Survey,0
153,Control,Both,Exposed,Metamorphosis,0.116,25,Meta*Dead,,,,0.173,16/12/2012,75,8/3/2013,122,3221.81,8.077698592,Metamorphosis,1
153,Control,Both,Exposed,Pre Expo 2,0.116,25,Meta*Dead,,,,0.173,16/12/2012,75,8/3/2013,122,656.9059372,6.487540838,Pre Expo 2,1
153,Control,Both,Exposed 2,Mid_Survey,0.116,25,Meta*Dead,,,,0.173,16/12/2012,75,8/3/2013,122,49522.21,10.81017653,Mid Survey,1
153,Control,Both,Exposed 2,Mortality,0.116,25,Meta*Dead,,,,0.173,16/12/2012,75,8/3/2013,122,66427.86255,11.10387186,Mortality,1
