IndividualID,Date,Experiment1,Experiment2,Experiment3,Phase,Phase2,DPI,Sex,Weight_with_bag,BdLoad_1_Capture,BdLoad,BsalLoad,Shedding_coded,Shedding,Crickets,Other,Death,Death_revised,Death_censor,Complete_Experiment1,DiedExp1,BdExposed
FS5,8/15/16,Bd_ONLY,None,None,3_Experiment1,3_Experiment1,21,NA,2.69,6.6,1.72,0,notvisible,NA,NA,NA,euthanized_on_8/15/2016,,0,No,NA,yes
GP22,8/15/16,Bd_ONLY,ALKL1,None,3_Experiment1,3_Experiment1,21,NA,2.13,0,0,0,notvisible,NA,NA,NA,NA,,0,No,NA,no
GP25,8/15/16,Bd_ONLY,None,None,3_Experiment1,3_Experiment1,21,NA,2.45,0,0,0,notvisible,NA,NA,NA,NA,,0,completed_coinfectionexp1,SurvivedExp1,no
GP28,8/15/16,Bd_ONLY,None,None,3_Experiment1,3_Experiment1,21,NA,1.74,86.2,0,0,notvisible,NA,NA,NA,NA,,0,No,NA,yes
GP30,8/15/16,Bd_ONLY,None,None,3_Experiment1,3_Experiment1,21,NA,2.01,6.5,0,0,notvisible,NA,NA,NA,NA,,0,No,NA,yes
GP4,8/15/16,Bd_ONLY,None,None,3_Experiment1,3_Experiment1,21,NA,2.23,12.2,0,0,notvisible,NA,NA,NA,NA,,0,completed_coinfectionexp1,SurvivedExp1,yes
GP5,8/15/16,Bd_ONLY,None,None,3_Experiment1,3_Experiment1,21,NA,2.31,85.8,0,0,notvisible,NA,NA,NA,NA,,0,No,NA,yes
GP8,8/15/16,Bd_ONLY,None,None,3_Experiment1,3_Experiment1,21,NA,2.32,0,0,0,notvisible,NA,NA,NA,NA,,0,No,NA,no
SD1,8/15/16,Bd_ONLY,None,None,3_Experiment1,3_Experiment1,21,NA,1.74,0,0,0,notvisible,NA,NA,NA,NA,,0,No,NA,no
SD7,8/15/16,Bd_ONLY,None,None,3_Experiment1,3_Experiment1,21,NA,1.99,0,0,0,notvisible,NA,NA,NA,NA,,0,completed_coinfectionexp1,SurvivedExp1,no
FS13,8/15/16,Bsal_BdLater,None,None,3_Experiment1,3_Experiment1,21,NA,1.61,293.45,0,0,notvisible,NA,NA,NA,NA,,0,completed_coinfectionexp1,SurvivedExp1,yes
FS14,8/15/16,Bsal_BdLater,None,None,3_Experiment1,3_Experiment1,21,NA,2.83,0,0,0,notvisible,NA,NA,NA,NA,,0,completed_coinfectionexp1,SurvivedExp1,no
FS19,8/15/16,Bsal_BdLater,None,None,3_Experiment1,3_Experiment1,21,NA,1.88,9147.3,0,0,notvisible,NA,NA,NA,NA,,0,completed_coinfectionexp1,SurvivedExp1,yes
FS20,8/15/16,Bsal_BdLater,None,None,3_Experiment1,3_Experiment1,21,NA,3.34,15.5,0,14.44028,notvisible,NA,NA,NA,NA,,0,No,NA,yes
GP16,8/15/16,Bsal_BdLater,None,None,3_Experiment1,3_Experiment1,21,NA,2.38,13.5,0,0,notvisible,NA,NA,NA,NA,,0,completed_coinfectionexp1,DiedExp1,yes
GP17,8/15/16,Bsal_BdLater,None,None,3_Experiment1,3_Experiment1,21,NA,2.06,56.7,0,0,notvisible,NA,NA,NA,NA,,0,completed_coinfectionexp1,SurvivedExp1,yes
GP21,8/15/16,Bsal_BdLater,ALKL1,None,3_Experiment1,3_Experiment1,21,NA,2.12,0,0,0,notvisible,NA,NA,NA,NA,,0,No,NA,no
