Species,Frog ID,Trial,Group,Date,time_post_Bd,Status,Event,swab_type,Swab,C(t),ge,Z,logZ,initial_Bd_status
Pristimantis pharangobates,164.12,1,infected,12-Jul-12,6,alive,swab,,164.12.S2,39.08,3.21E-02,2.568,0.552424846,uninfected_treated
Pristimantis pharangobates,164.12,1,infected,19-Jul-12,13,alive,swab,,164.12.S3,38.16,5.74E-02,4.592,0.747567163,uninfected_treated
Pristimantis pharangobates,164.12,1,infected,29-Jul-12,23,alive,swab,,164.12.S4,35.34,3.45E-01,27.6,1.456366033,uninfected_treated
Pristimantis pharangobates,164.12,1,infected,5-Aug-12,30,alive,swab,,164.12.S5,34.14,7.43E-01,59.44,1.781324456,uninfected_treated
Pristimantis pharangobates,164.12,1,infected,12-Aug-12,37,alive,swab,,164.12.S6,39.82,2.00E-02,1.6,0.414973348,uninfected_treated
Pristimantis pharangobates,164.12,1,infected,17-Aug-12,42,dead,swab,,164.12.S7,31.17,4.9,392,2.59439255,uninfected_treated
Pristimantis pharangobates,164.12,1,infected,17-Aug-12,42,dead,death,,,,,,,uninfected_treated
Pristimantis pharangobates,165.12,1,infected,28-Jun-12,,alive,swab,,165.12.S0,Undetermined,,0,0,uninfected_treated
Pristimantis pharangobates,165.12,1,infected,6-Jul-12,0,alive,swab,,165.12.S1,Undetermined,,0,0,uninfected_treated
Pristimantis pharangobates,165.12,1,infected,12-Jul-12,6,alive,swab,,165.12.S2,41.95,1.25E-02,1,0.301029996,uninfected_treated
Pristimantis pharangobates,165.12,1,infected,19-Jul-12,13,alive,swab,,165.12.S3,36.14,3.29E-01,26.32,1.436480695,uninfected_treated
Pristimantis pharangobates,165.12,1,infected,29-Jul-12,23,alive,swab,,165.12.S4,37.01,2.01E-01,16.08,1.232487866,uninfected_treated
Pristimantis pharangobates,165.12,1,infected,5-Aug-12,30,alive,swab,,165.12.S5,35.55,4.59E-01,36.72,1.576571684,uninfected_treated
Pristimantis pharangobates,165.12,1,infected,12-Aug-12,37,alive,swab,,165.12.S6,37.41,1.61E-01,12.88,1.142389466,uninfected_treated
Pristimantis pharangobates,165.12,1,infected,19-Aug-12,44,alive,swab,,165.12.S7,39.28,5.61E-02,4.488,0.739414103,uninfected_treated
Pristimantis pharangobates,290.12,1,infected,11-Jul-12,,alive,swab,,290.12.S0,36.04,2.64E-01,21.12,1.344785123,infected_treated
Pristimantis pharangobates,290.12,1,infected,18-Jul-12,0,alive,swab,,290.12.S1,Undetermined,,0,0,infected_treated
Pristimantis pharangobates,290.12,1,infected,29-Jul-12,11,alive,swab,,290.12.S2,Undetermined,,0,0,infected_treated
Pristimantis pharangobates,290.12,1,infected,5-Aug-12,18,alive,swab,,290.12.S3,36.78,1.72E-01,13.76,1.169086357,infected_treated
Pristimantis pharangobates,290.12,1,infected,12-Aug-12,25,alive,swab,,290.12.S4,38.36,6.98E-02,5.584,0.818489822,infected_treated
Pristimantis pharangobates,290.12,1,infected,19-Aug-12,32,alive,swab,,290.12.S5,38.49,6.46E-02,5.168,0.790144365,infected_treated
Pristimantis pharangobates,292.12,1,infected,11-Jul-12,,alive,swab,,292.12.S0,Undetermined,,0,0,uninfected_treated
Pristimantis pharangobates,292.12,1,infected,18-Jul-12,0,alive,swab,,292.12.S1,Undetermined,,0,0,uninfected_treated
Pristimantis pharangobates,292.12,1,infected,29-Jul-12,11,alive,swab,,292.12.S2,Undetermined,,0,0,uninfected_treated
Pristimantis pharangobates,292.12,1,infected,5-Aug-12,18,alive,swab,,292.12.S3,34.65,5.84E-01,46.72,1.678700435,uninfected_treated
Pristimantis pharangobates,292.12,1,infected,12-Aug-12,25,alive,swab,,292.12.S4,37.97,8.69E-02,6.952,0.900476371,uninfected_treated
Pristimantis pharangobates,292.12,1,infected,19-Aug-12,32,alive,swab,,292.12.S5,Undetermined,,0,0,uninfected_treated
Pristimantis pharangobates,347.12,1,infected,14-Jul-12,,alive,swab,,347.12.S0,Undetermined,,0,0,uninfected_treated
Pristimantis pharangobates,347.12,1,infected,22-Jul-12,0,alive,swab,,347.12.S1,Undetermined,,0,0,uninfected_treated
Pristimantis pharangobates,347.12,1,infected,29-Jul-12,7,alive,swab,,347.12.S2,47.59,3.82E-04,0.03056,0.013073282,uninfected_treated
Pristimantis pharangobates,347.12,1,infected,5-Aug-12,14,alive,swab,,347.12.S3,39.19,4.64E-02,3.712,0.673205282,uninfected_treated
Pristimantis pharangobates,347.12,1,infected,12-Aug-12,21,alive,swab,,347.12.S4,48.12,2.81E-04,0.02248,0.009654822,uninfected_treated
Pristimantis pharangobates,347.12,1,infected,19-Aug-12,28,alive,swab,,347.12.S5,35.42,4.00E-01,32,1.51851394,uninfected_treated
Pristimantis pharangobates,349.12,1,infected,14-Jul-12,,alive,swab,,349.12.S0,32.74,1.86,148.8,2.175511813,infected_treated
Pristimantis pharangobates,349.12,1,infected,22-Jul-12,0,alive,swab,,349.12.S1,37.44,1.26E-01,10.08,1.04453976,infected_treated
Pristimantis pharangobates,349.12,1,infected,29-Jul-12,7,alive,swab,,349.12.S2,39.37,4.19E-02,3.352,0.638688887,infected_treated
Pristimantis pharangobates,349.12,1,infected,5-Aug-12,14,alive,swab,,349.12.S3,31.57,3.63,290.4,2.464489547,infected_treated
Pristimantis pharangobates,349.12,1,infected,12-Aug-12,21,alive,swab,,349.12.S4,33.79,1.02,81.6,1.916980047,infected_treated
Pristimantis pharangobates,349.12,1,infected,19-Aug-12,28,alive,swab,,349.12.S5,33.85,9.81E-01,78.48,1.900257858,infected_treated
Pristimantis pharangobates,355.12,1,infected,14-Jul-12,,alive,swab,,355.12.S0,32.92,1.67,133.6,2.12904506,infected_treated
Pristimantis pharangobates,355.12,1,infected,22-Jul-12,0,alive,swab,,355.12.S1,Undetermined,,0,0,infected_treated
Pristimantis pharangobates,355.12,1,infected,28-Jul-12,6,alive,swab,,355.12.S2,Undetermined,,0,0,infected_treated
Pristimantis pharangobates,355.12,1,infected,5-Aug-12,14,alive,swab,,355.12.S3,33.45,1.23,98.4,1.997386384,infected_treated
Pristimantis pharangobates,355.12,1,infected,10-Aug-12,19,alive,escaped,,,,,,,infected_treated
Pristimantis pharangobates,356.12,1,infected,14-Jul-12,,alive,swab,,356.12.S0,36.47,2.20E-01,17.6,1.269512944,infected_treated
Pristimantis pharangobates,356.12,1,infected,22-Jul-12,0,alive,swab,,356.12.S1,39.42,4.06E-02,3.248,0.628184508,infected_treated
Pristimantis pharangobates,356.12,1,infected,29-Jul-12,7,alive,swab,,356.12.S2,38.12,8.54E-02,6.832,0.893872679,infected_treated
Pristimantis pharangobates,356.12,1,infected,5-Aug-12,14,alive,swab,,356.12.S3,Undetermined,,0,0,infected_treated
Pristimantis pharangobates,356.12,1,infected,12-Aug-12,21,alive,swab,,356.12.S4,38.35,7.52E-02,6.016,0.84608958,infected_treated
Pristimantis pharangobates,356.12,1,infected,19-Aug-12,28,alive,swab,,356.12.S5,Undetermined,,0,0,infected_treated
Pristimantis pharangobates,357.12,1,infected,14-Jul-12,,alive,swab,,357.12.S0,35.61,3.60E-01,28.8,1.474216264,infected_treated
Pristimantis pharangobates,357.12,1,infected,22-Jul-12,0,alive,swab,,357.12.S1,36.06,2.78E-01,22.24,1.366236124,infected_treated
Pristimantis pharangobates,357.12,1,infected,29-Jul-12,7,alive,swab,,357.12.S2,39.32,4.31E-02,3.448,0.648164779,infected_treated
Pristimantis pharangobates,357.12,1,infected,5-Aug-12,14,alive,swab,,357.12.S3,40.14,2.69E-02,2.152,0.498586209,infected_treated
Pristimantis pharangobates,357.12,1,infected,12-Aug-12,21,alive,swab,,357.12.S4,34.7,6.07E-01,48.56,1.695131298,infected_treated
Pristimantis pharangobates,357.12,1,infected,19-Aug-12,28,alive,swab,,357.12.S5,38.12,8.56E-02,6.848,0.894758994,infected_treated
Pristimantis pharangobates,358.12,1,infected,14-Jul-12,,alive,swab,,358.12.S0,35.22,4.50E-01,36,1.568201724,infected_treated
Pristimantis pharangobates,358.12,1,infected,22-Jul-12,0,alive,swab,,358.12.S1,36.74,1.89E-01,15.12,1.207365037,infected_treated
Pristimantis pharangobates,358.12,1,infected,29-Jul-12,7,alive,swab,,358.12.S2,Undetermined,,0,0,infected_treated
Pristimantis pharangobates,358.12,1,infected,5-Aug-12,14,alive,swab,,358.12.S3,34.58,6.47E-01,51.76,1.722304787,infected_treated
Pristimantis pharangobates,358.12,1,infected,12-Aug-12,21,alive,swab,,358.12.S4,Undetermined,,0,0,infected_treated
Pristimantis pharangobates,358.12,1,infected,19-Aug-12,28,alive,swab,,358.12.S5,Undetermined,,0,0,infected_treated
Pristimantis pharangobates,359.12,1,infected,14-Jul-12,,alive,swab,,359.12.S0,36.05,2.95E-01,23.6,1.390935107,infected_treated
Pristimantis pharangobates,359.12,1,infected,22-Jul-12,0,alive,swab,,359.12.S1,37.9,1.05E-01,8.4,0.973127854,infected_treated
Pristimantis pharangobates,359.12,1,infected,29-Jul-12,7,alive,swab,,359.12.S2,39.15,5.20E-02,4.16,0.712649702,infected_treated
Pristimantis pharangobates,359.12,1,infected,5-Aug-12,14,alive,swab,,359.12.S3,34.61,6.62E-01,52.96,1.732071941,infected_treated
Pristimantis pharangobates,359.12,1,infected,12-Aug-12,21,alive,swab,,359.12.S4,Undetermined,,0,0,infected_treated
Pristimantis pharangobates,359.12,1,infected,19-Aug-12,28,alive,swab,,359.12.S5,32.02,2.84,227.2,2.35831564,infected_treated
Pristimantis pharangobates,360.12,1,infected,14-Jul-12,,alive,swab,,360.12.S0,35.19,4.78E-01,38.24,1.593728999,infected_treated
Pristimantis pharangobates,360.12,1,infected,22-Jul-12,0,alive,swab,,360.12.S1,39,5.68E-02,4.544,0.743823222,infected_treated
Pristimantis pharangobates,360.12,1,infected,29-Jul-12,7,alive,swab,,360.12.S2,34.23,8.20E-01,65.6,1.823474229,infected_treated
Pristimantis pharangobates,360.12,1,infected,5-Aug-12,14,alive,swab,,360.12.S3,37,1.74E-01,13.92,1.173768823,infected_treated
Pristimantis pharangobates,360.12,1,infected,12-Aug-12,21,alive,swab,,360.12.S4,35.03,5.24E-01,41.92,1.632659713,infected_treated
Pristimantis pharangobates,360.12,1,infected,19-Aug-12,28,alive,swab,,360.12.S5,35.84,3.34E-01,26.72,1.442793226,infected_treated
Pristimantis pharangobates,361.12,1,infected,14-Jul-12,,alive,swab,,361.12.S0,35.21,4.73E-01,37.84,1.589279221,infected_treated
Pristimantis pharangobates,361.12,1,infected,22-Jul-12,0,alive,swab,,361.12.S1,Undetermined,,0,0,infected_treated
Pristimantis pharangobates,361.12,1,infected,29-Jul-12,7,alive,swab,,361.12.S2,42.98,6.08E-03,0.4864,0.172135697,infected_treated
Pristimantis pharangobates,361.12,1,infected,5-Aug-12,14,alive,swab,,361.12.S3,34.51,7.01E-01,56.08,1.756483964,infected_treated
Pristimantis pharangobates,361.12,1,infected,12-Aug-12,21,alive,swab,,361.12.S4,36.57,2.22E-01,17.76,1.273232834,infected_treated
Pristimantis pharangobates,361.12,1,infected,19-Aug-12,28,alive,swab,,361.12.S5,Undetermined,,0,0,infected_treated
Pristimantis pharangobates,363.12,1,infected,14-Jul-12,,alive,swab,,363.12.S0,39.68,3.87E-02,3.096,0.612359948,infected_treated
Pristimantis pharangobates,363.12,1,infected,22-Jul-12,0,alive,swab,,363.12.S1,Undetermined,,0,0,infected_treated
Pristimantis pharangobates,363.12,1,infected,29-Jul-12,7,alive,swab,,363.12.S2,48.48,2.79E-04,0.02232,0.009586857,infected_treated
Pristimantis pharangobates,363.12,1,infected,5-Aug-12,14,alive,swab,,363.12.S3,36.09,2.90E-01,23.2,1.383815366,infected_treated
Pristimantis pharangobates,363.12,1,infected,12-Aug-12,21,alive,swab,,363.12.S4,Undetermined,,0,0,infected_treated
Pristimantis pharangobates,363.12,1,infected,19-Aug-12,28,alive,swab,,363.12.S5,Undetermined,,0,0,infected_treated
Pristimantis pharangobates,364.12,1,infected,14-Jul-12,,alive,swab,,364.12.S0,39.11,5.34E-02,4.272,0.721975402,infected_treated
Pristimantis pharangobates,364.12,1,infected,22-Jul-12,0,alive,swab,,364.12.S1,Undetermined,,0,0,infected_treated
Pristimantis pharangobates,364.12,1,infected,29-Jul-12,7,alive,swab,,364.12.S2,Undetermined,,0,0,infected_treated
Pristimantis pharangobates,364.12,1,infected,5-Aug-12,14,alive,swab,,364.12.S3,Undetermined,,0,0,infected_treated
Pristimantis pharangobates,364.12,1,infected,12-Aug-12,21,alive,swab,,364.12.S4,Undetermined,,0,0,infected_treated
Pristimantis pharangobates,364.12,1,infected,19-Aug-12,28,alive,swab,,364.12.S5,34.05,9.07E-01,72.56,1.866641721,infected_treated
Pristimantis platydactylus,210.12,1,infected,6-Jul-12,,alive,swab,,210.12.S0,Undetermined,,0,0,uninfected_treated
Pristimantis platydactylus,210.12,1,infected,18-Jul-12,0,alive,swab,,210.12.S1,Undetermined,,0,0,uninfected_treated
Pristimantis platydactylus,210.12,1,infected,28-Jul-12,10,alive,swab,,210.12.S2,33.3,1.77,141.6,2.154119526,uninfected_treated
Pristimantis platydactylus,210.12,1,infected,4-Aug-12,17,alive,swab,,210.12.S3,26.16,111.35,8908,3.949828959,uninfected_treated
Pristimantis platydactylus,210.12,1,infected,11-Aug-12,24,alive,swab,,210.12.S4,37.26,1.20E-01,9.6,1.025305865,uninfected_treated
Pristimantis platydactylus,210.12,1,infected,18-Aug-12,31,alive,swab,,210.12.S5,25.46,132.02,10561.6,4.023770834,uninfected_treated
Pristimantis platydactylus,210.12,1,infected,21-Aug-12,34,alive,swab,,210.12.S6,22.69,683.4,54672,4.737772905,uninfected_treated
Pristimantis platydactylus,245.12,1,infected,8-Jul-12,,alive,swab,,245.12.S0,39.6,2.99E-02,2.392,0.530455844,infected_treated
Pristimantis platydactylus,245.12,1,infected,18-Jul-12,0,alive,swab,,245.12.S1,37.24,1.21E-01,9.68,1.028571253,infected_treated
Pristimantis platydactylus,245.12,1,infected,28-Jul-12,10,alive,swab,,245.12.S2,34.35,6.76E-01,54.08,1.740993932,infected_treated
Pristimantis platydactylus,245.12,1,infected,4-Aug-12,17,alive,swab,,245.12.S3,31.08,4.7,376,2.57634135,infected_treated
Pristimantis platydactylus,245.12,1,infected,11-Aug-12,24,alive,swab,,245.12.S4,29.26,13.82,1105.6,3.043990666,infected_treated
Pristimantis platydactylus,245.12,1,infected,14-Aug-12,27,dead,swab,,245.12.S5,28.27,24.95,1996,3.300378065,infected_treated
Pristimantis platydactylus,245.12,1,infected,14-Aug-12,27,dead,death,,,,,,,infected_treated
Pristimantis platydactylus,246.12,1,infected,8-Jul-12,,alive,swab,,246.12.S0,38.91,4.51E-02,3.608,0.66351247,infected_treated
Pristimantis platydactylus,246.12,1,infected,18-Jul-12,0,alive,swab,,246.12.S1,47.34,3.02E-04,0.02416,0.01036781,infected_treated
Pristimantis platydactylus,246.12,1,infected,28-Jul-12,10,alive,swab,,246.12.S2,31.35,4,320,2.506505032,infected_treated
Pristimantis platydactylus,246.12,1,infected,4-Aug-12,17,alive,swab,,246.12.S3,20.52,2467.79,197423.2,5.295400387,infected_treated
Pristimantis platydactylus,246.12,1,infected,5-Aug-12,18,dead,swab,,246.12.S4,21.74,1203.15,96252,4.983414274,infected_treated
Pristimantis platydactylus,246.12,1,infected,5-Aug-12,18,dead,death,,,,,,,infected_treated
Pristimantis platydactylus,247.12,1,infected,8-Jul-12,,alive,swab,,247.12.S0,37.91,8.17E-02,6.536,0.87714089,infected_treated
Pristimantis platydactylus,247.12,1,infected,18-Jul-12,0,alive,swab,,247.12.S1,49.65,8.85E-05,0.00708,0.003063971,infected_treated
Pristimantis platydactylus,247.12,1,infected,28-Jul-12,10,alive,swab,,247.S2,32.21,3.2,256,2.409933123,infected_treated
Pristimantis platydactylus,247.12,1,infected,4-Aug-12,17,alive,swab,,247.S3,33.17,1.8,144,2.161368002,infected_treated
Pristimantis platydactylus,247.12,1,infected,11-Aug-12,24,alive,swab,,247.S4,39.61,3.71E-02,2.968,0.598571663,infected_treated
Pristimantis platydactylus,247.12,1,infected,18-Aug-12,31,alive,swab,,247.S5,32.58,2.55,204,2.311753861,infected_treated
Pristimantis platydactylus,247.12,1,infected,21-Aug-12,34,alive,swab,,247.S6,30.08,11.52,921.6,2.96501345,infected_treated
Pristimantis platydactylus,251.12,1,infected,8-Jul-12,,alive,swab,,251.12.S0,Undetermined,,0,0,uninfected_treated
Pristimantis platydactylus,251.12,1,infected,18-Jul-12,0,alive,swab,,251.12.S1,Undetermined,,0,0,uninfected_treated
Pristimantis platydactylus,251.12,1,infected,28-Jul-12,10,alive,swab,,251.12.S2,42.14,8.12E-03,0.6496,0.217378648,uninfected_treated
Pristimantis platydactylus,251.12,1,infected,4-Aug-12,17,alive,swab,,251.12.S3,29.39,17.44,1395.2,3.144947634,uninfected_treated
Pristimantis platydactylus,251.12,1,infected,11-Aug-12,24,alive,swab,,251.12.S4,30.23,10.51,840.8,2.925208921,uninfected_treated
Pristimantis platydactylus,251.12,1,infected,12-Aug-12,25,dead,swab,,251.12.S5,24.62,307.17,24573.6,4.390486458,uninfected_treated
Pristimantis platydactylus,251.12,1,infected,12-Aug-12,25,dead,death,,,,,,,uninfected_treated
Pristimantis platydactylus,277.12,1,infected,11-Jul-12,,alive,swab,,277.12.S0,40.5,2.07E-02,1.656,0.424228071,infected_treated
Pristimantis platydactylus,277.12,1,infected,18-Jul-12,0,alive,swab,,277.12.S1,Undetermined,,0,0,infected_treated
Pristimantis platydactylus,277.12,1,infected,29-Jul-12,11,alive,swab,,277.12.S2,32.75,1.74,139.2,2.146748014,infected_treated
Pristimantis platydactylus,277.12,1,infected,4-Aug-12,17,alive,swab,,277.12.S3,28.87,16.15,1292,3.111598525,infected_treated
Pristimantis platydactylus,277.12,1,infected,11-Aug-12,24,alive,swab,,277.12.S4,26.66,57.06,4564.8,3.659516884,infected_treated
Pristimantis platydactylus,277.12,1,infected,18-Aug-12,31,alive,swab,,277.12.S5,33.66,1.04,83.2,1.925312091,infected_treated
Pristimantis platydactylus,277.12,1,infected,21-Aug-12,34,alive,swab,,277.12.S6,27.37,37.97,3037.6,3.482673534,infected_treated
Pristimantis platydactylus,278.12,1,infected,11-Jul-12,,alive,swab,,278.12.S0,Undetermined,,0,0,uninfected_treated
Pristimantis platydactylus,278.12,1,infected,18-Jul-12,0,alive,swab,,278.12.S1,41.61,1.09E-02,0.872,0.272305844,uninfected_treated
Pristimantis platydactylus,278.12,1,infected,28-Jul-12,10,alive,swab,,278.12.S2,34.7,5.71E-01,45.68,1.669130847,uninfected_treated
Pristimantis platydactylus,278.12,1,infected,4-Aug-12,17,alive,swab,,278.12.S3,30.12,7.89,631.2,2.800854492,uninfected_treated
Pristimantis platydactylus,278.12,1,infected,11-Aug-12,24,alive,swab,,278.12.S4,30.2,7.53,602.4,2.780605306,uninfected_treated
Pristimantis platydactylus,278.12,1,infected,15-Aug-12,28,dead,swab,,278.12.S5,27.39,37.7,3016,3.47957531,uninfected_treated
Pristimantis platydactylus,278.12,1,infected,15-Aug-12,28,dead,death,,,,,,,uninfected_treated
Pristimantis platydactylus,280.12,1,infected,11-Jul-12,,alive,swab,,280.12.S0,37.41,1.21E-01,9.68,1.028571253,infected_treated
Pristimantis platydactylus,280.12,1,infected,18-Jul-12,0,alive,swab,,280.12.S1,33.93,8.87E-01,70.96,1.857091155,infected_treated
Pristimantis platydactylus,280.12,1,infected,28-Jul-12,10,alive,swab,,280.12.S2,36.51,2.03E-01,1.624,0.418963831,infected_treated
Pristimantis platydactylus,280.12,1,infected,4-Aug-12,17,alive,(swab lost),,280.12.S3,,,,,infected_treated
Pristimantis platydactylus,280.12,1,infected,10-Aug-12,23,dead,swab,,280.12.S4,37.32,1.27E-01,1.016,0.304490528,infected_treated
Pristimantis platydactylus,280.12,1,infected,10-Aug-12,23,dead,death,,,,,,,infected_treated
Pristimantis platydactylus,166.12,1,infected,28-Jun-12,,alive,swab,,166.12.S0,Undetermined,,0,0,uninfected_treated
Pristimantis platydactylus,166.12,1,infected,18-Jul-12,0,alive,swab,,166.12.S1,Undetermined,,0,0,uninfected_treated
Pristimantis platydactylus,166.12,1,infected,28-Jul-12,10,alive,swab,,166.12.S2,39.24,5.73E-02,4.584,0.74694541,uninfected_treated
Pristimantis platydactylus,166.12,1,infected,4-Aug-12,17,alive,swab,,166.12.S3,Undetermined,,0,0,uninfected_treated
Pristimantis platydactylus,166.12,1,infected,11-Aug-12,24,alive,swab,,166.12.S4,Undetermined,,0,0,uninfected_treated
Pristimantis platydactylus,166.12,1,infected,18-Aug-12,31,alive,swab,,166.12.S5,33.53,1.43,114.4,2.062205809,uninfected_treated
Pristimantis platydactylus,166.12,1,infected,21-Aug-12,34,alive,swab,,166.12.S6,30.97,4.68,374.4,2.574494268,uninfected_treated
Pristimantis platydactylus,231.12,1,infected,8-Jul-12,,alive,swab,,231.12.S0,Undetermined,,0,0,uninfected_treated
Pristimantis platydactylus,231.12,1,infected,18-Jul-12,0,alive,swab,,231.12.S1,Undetermined,,0,0,uninfected_treated
Pristimantis platydactylus,231.12,1,infected,28-Jul-12,10,alive,swab,,231.12.S2,33.93,8.63E-01,69.04,1.845346137,uninfected_treated
Pristimantis platydactylus,231.12,1,infected,4-Aug-12,17,alive,swab,,231.12.S3,33.64,1.03,82.4,1.921166051,uninfected_treated
Pristimantis platydactylus,231.12,1,infected,11-Aug-12,24,alive,swab,,231.12.S4,33.11,1.41,112.8,2.056142262,uninfected_treated
Pristimantis platydactylus,231.12,1,infected,18-Aug-12,31,alive,swab,,231.12.S5,24.09,298.03,23842.4,4.377368185,uninfected_treated
Pristimantis platydactylus,231.12,1,infected,21-Aug-12,34,alive,swab,,231.12.S6,21.67,1252.43,100194.4,5.000847783,uninfected_treated
Pristimantis platydactylus,351.12,1,infected,14-Jul-12,,alive,swab,,351.12.S0,39.03,5.08E-02,4.064,0.704493697,infected_treated
Pristimantis platydactylus,351.12,1,infected,22-Jul-12,0,alive,swab,,351.12.S1,Undetermined,,0,0,infected_treated
Pristimantis platydactylus,351.12,1,infected,28-Jul-12,6,alive,swab,,351.12.S2,33.54,1.17,93.6,1.975891136,infected_treated
Pristimantis platydactylus,351.12,1,infected,4-Aug-12,13,alive,swab,,351.12.S3,29.96,9.09,727.2,2.862250675,infected_treated
Pristimantis platydactylus,351.12,1,infected,11-Aug-12,20,alive,swab,,351.12.S4,34.45,6.97E-01,55.76,1.754042387,infected_treated
Pristimantis platydactylus,351.12,1,infected,18-Aug-12,27,alive,swab,,351.12.S5,32.46,2.18,174.4,2.244029589,infected_treated
Pristimantis platydactylus,351.12,1,infected,21-Aug-12,30,alive,swab,,351.12.S6,30.4,7.06,564.8,2.752662943,infected_treated
Pristimantis platydactylus,353.12,1,infected,14-Jul-12,,alive,swab,,353.12.S0,37.9,9.71E-02,7.768,0.942900541,infected_treated
Pristimantis platydactylus,353.12,1,infected,22-Jul-12,0,alive,swab,,353.12.S1,35.28,4.34E-01,34.72,1.55291145,infected_treated
Pristimantis platydactylus,353.12,1,infected,28-Jul-12,6,alive,swab,,353.12.S2,38.18,8.26E-02,6.608,0.881270504,infected_treated
Pristimantis platydactylus,353.12,1,infected,4-Aug-12,13,alive,swab,,353.12.S3,28.71,18.64,1491.2,3.173827036,infected_treated
Pristimantis platydactylus,353.12,1,infected,11-Aug-12,20,alive,swab,,353.12.S4,30.42,7.01,560.8,2.749581735,infected_treated
Pristimantis platydactylus,353.12,1,infected,18-Aug-12,27,alive,swab,,353.12.S5,30.37,7.21,576.8,2.761777538,infected_treated
Pristimantis platydactylus,353.12,1,infected,21-Aug-12,30,alive,swab,,353.12.S6,29.43,12.31,984.8,2.993788814,infected_treated
Pristimantis platydactylus,86.12,1,infected,24-Jun-12,,alive,swab,,86.12.S0,Undetermined,,0,0,uninfected_treated
Pristimantis platydactylus,86.12,1,infected,17-Jul-12,0,alive,(swab lost),,86.12.S1,,,,,uninfected_treated
Pristimantis platydactylus,86.12,1,infected,28-Jul-12,11,alive,swab,,86.12.S2,Undetermined,,0,0,uninfected_treated
Pristimantis platydactylus,86.12,1,infected,4-Aug-12,18,alive,swab,,86.12.S3,36.2,1.92E-01,15.36,1.213783299,uninfected_treated
Pristimantis platydactylus,86.12,1,infected,11-Aug-12,25,alive,swab,,86.12.S4,31.14,4.56,364.8,2.563243701,uninfected_treated
Pristimantis platydactylus,86.12,1,infected,18-Aug-12,32,alive,swab,,86.12.S5,22.16,1259.71,100776.8,5.003364873,uninfected_treated
Pristimantis platydactylus,86.12,1,infected,21-Aug-12,35,alive,swab,,86.12.S6,22.73,880.02,70401.6,4.847588698,uninfected_treated
Pristimantis platydactylus,86.12,1,infected,24-Aug-12,38,dead,swab,,86.12.S7,20.49,3568.02,285441.6,5.455518789,uninfected_treated
Pristimantis platydactylus,86.12,1,infected,24-Aug-12,38,dead,death,,,,,,,uninfected_treated
Gastrotheca excubitor,330.12,1,infected,20-Jul-12,,alive,swab,,330.12.S0,Undetermined,,0,0,uninfected_treated
Gastrotheca excubitor,330.12,1,infected,27-Jul-12,0,alive,swab,,330.12.S1,31.61,3.35,268,2.42975228,uninfected_treated
Gastrotheca excubitor,330.12,1,infected,1-Aug-12,5,alive,swab,,330.12.S2,42.67,5.87E-03,0.4696,0.167199143,uninfected_treated
Gastrotheca excubitor,330.12,1,infected,8-Aug-12,12,alive,swab,,330.12.S3,Undetermined,,0,0,uninfected_treated
Gastrotheca excubitor,330.12,1,infected,14-Aug-12,18,alive,swab,,330.12.S4,40.42,2.14E-02,1.712,0.433289685,uninfected_treated
Gastrotheca excubitor,330.12,1,infected,21-Aug-12,25,alive,swab,,330.12.S5,40.23,2.38E-02,1.904,0.462996612,uninfected_treated
Gastrotheca excubitor,383.12,1,infected,20-Jul-12,,alive,swab,,383.12.S0,41.81,1.66E-02,1.328,0.366982976,infected_treated
Gastrotheca excubitor,383.12,1,infected,27-Jul-12,0,alive,(swab lost),,383.12.S1,,,,,infected_treated
Gastrotheca excubitor,383.12,1,infected,1-Aug-12,5,alive,swab,,383.12.S2,35.34,6.26E-01,50.08,1.708250889,infected_treated
Gastrotheca excubitor,383.12,1,infected,8-Aug-12,12,alive,swab,,383.12.S3,Undetermined,,0,0,infected_treated
Gastrotheca excubitor,383.12,1,infected,14-Aug-12,18,alive,swab,,383.12.S4,Undetermined,,0,0,infected_treated
Gastrotheca excubitor,383.12,1,infected,21-Aug-12,25,alive,swab,,383.12.S5,39.81,5.10E-02,4.08,0.705863712,infected_treated
Gastrotheca excubitor,384.12,1,infected,20-Jul-12,,alive,swab,,384.12.S0,Undetermined,,0,0,uninfected_treated
Gastrotheca excubitor,384.12,1,infected,27-Jul-12,0,alive,swab,,384.12.S1,40.05,4.46E-02,3.568,0.659726095,uninfected_treated
Gastrotheca excubitor,384.12,1,infected,1-Aug-12,5,alive,swab,,384.12.S2,Undetermined,,0,0,uninfected_treated
Gastrotheca excubitor,384.12,1,infected,8-Aug-12,12,alive,swab,,384.12.S3,Undetermined,,0,0,uninfected_treated
Gastrotheca excubitor,384.12,1,infected,14-Aug-12,18,alive,swab,,384.12.S4,Undetermined,,0,0,uninfected_treated
Gastrotheca excubitor,384.12,1,infected,21-Aug-12,25,alive,swab,,384.12.S5,Undetermined,,0,0,uninfected_treated
Gastrotheca excubitor,385.12,1,infected,20-Jul-12,,alive,swab,,385.12.S0,Undetermined,,0,0,uninfected_treated
Gastrotheca excubitor,385.12,1,infected,27-Jul-12,0,alive,swab,,385.12.S1,Undetermined,,0,0,uninfected_treated
Gastrotheca excubitor,385.12,1,infected,1-Aug-12,5,alive,swab,,385.12.S2,Undetermined,,0,0,uninfected_treated
