input_name,accepted_name,source
Afrixalus sylvaticus,Afrixalus sylvaticus,AmphibiaWeb
Afrixalus uluguruensis,Afrixalus uluguruensis,AmphibiaWeb
Afrixalus upembae,Afrixalus upembae,AmphibiaWeb
Afrixalus vibekensis,Afrixalus vibekensis,AmphibiaWeb
Afrixalus vittiger,Afrixalus vittiger,AmphibiaWeb
Afrixalus weidholzi,Afrixalus weidholzi,AmphibiaWeb
Afrixalus wittei,Afrixalus wittei,AmphibiaWeb
Agalychnis annae,Agalychnis annae,AmphibiaWeb
Agalychnis aspera,Hylomantis aspera,AmphibiaWeb
Agalychnis buckleyi,Agalychnis buckleyi,AmphibiaWeb
Agalychnis calcarifer,Cruziohyla calcarifer,AmphibiaWeb
Agalychnis callidryas,Agalychnis callidryas,AmphibiaWeb
Agalychnis callidryas taylori,Agalychnis taylori,AmphibiaWeb
Agalychnis craspedopus,Cruziohyla craspedopus,AmphibiaWeb
Agalychnis dacnicolor,Agalychnis dacnicolor,AmphibiaWeb
Agalychnis danieli,Agalychnis danieli,AmphibiaWeb
Agalychnis granulosa,Hylomantis granulosa,AmphibiaWeb
Agalychnis hulli,Agalychnis hulli,AmphibiaWeb
Agalychnis lemur,Agalychnis lemur,AmphibiaWeb
Agalychnis litodryas,Agalychnis spurrelli,AmphibiaWeb
Agalychnis medinae,Agalychnis medinae,AmphibiaWeb
Agalychnis moreletii,Agalychnis moreletii,AmphibiaWeb
Agalychnis psilopygion,Agalychnis psilopygion,AmphibiaWeb
Agalychnis saltator,Agalychnis saltator,AmphibiaWeb
Agalychnis spurrelli,Agalychnis spurrelli,AmphibiaWeb
Agalychnis taylori,Agalychnis taylori,AmphibiaWeb
Agalychnis terranova,Agalychnis terranova,AmphibiaWeb
Aglyptodactylus australis,Aglyptodactylus australis,AmphibiaWeb
Aglyptodactylus chorus,Aglyptodactylus chorus,AmphibiaWeb
Aglyptodactylus inguinalis,Aglyptodactylus inguinalis,AmphibiaWeb
Aglyptodactylus laticeps,Aglyptodactylus laticeps,AmphibiaWeb
Aglyptodactylus madagascariensis,Aglyptodactylus madagascariensis,AmphibiaWeb
Aglyptodactylus securifer,Aglyptodactylus securifer,AmphibiaWeb
Albericus pandanicolus,Choerophryne pandanicola,AmphibiaWeb
Albericus rheaurum,Choerophryne rhenaurum,AmphibiaWeb
Alcalus baluensis,Alcalus baluensis,AmphibiaWeb
Alcalus fontinalis,Alcalus fontinalis,AmphibiaWeb
Alcalus mariae,Alcalus mariae,AmphibiaWeb
Alcalus rajae,Alcalus rajae,AmphibiaWeb
Alcalus sariba,Alcalus sariba,AmphibiaWeb
Alcalus tasanae,Alcalus tasanae,AmphibiaWeb
Alcalus tongbiguanensis,Alcalus tongbiguanensis,AmphibiaWeb
Alexteroon hypsiphonus,Hyperolius hypsiphonus,AmphibiaWeb
Alexteroon jynx,Hyperolius jynx,AmphibiaWeb
Alexteroon obstetricans,Hyperolius obstetricans,AmphibiaWeb
