pathogen_type,study_id,team_id,doi,exp_id,treatment,continent,region_country,latitude,longitude,host_species,family,host_origin,split_clutch,n_T_clutches,n_C_clutches,known_sex,life_stage_treated,life_stage_tested,life_stage_matched,Location_post_exposure,post_pathogen_strain,lineage,pathogen_virulence,pathogen_origin,origin_vs_tested_species,pathogen_passage_history,year_isolation,time_interval,extra_exp_info,note,individual_rawdata
Bd,Ellison_et_al_2014,Ellison_Zamudio,10.1534/g3.114.010744,1,LiveFungi,USA,"New York, USA",41.44695115,-77.48177852,Atelopus zeteki,Bufonidae,captive,split,1,1,yes,adult,adult,SAME,laboratory,JEL423,GPL,high,Hylomantis lemur,different,unclear,2004 (cryopreserved),30,NA,"(1) The animals were from Langhammer et al. 2013 PLoS One, so most frog info can be found there (i.e., the 10 captive-bred adults for ""pure control"" and ""na•ve-infected"" have experineced a proper shame procedure when the ""survived-infected"" frogs were exposed to JEL-427-P39). (2) Two ""survived-infected"" animals: one had never infected by J-427-P39, one had infected but then fully cleared. (3) time_interval = the time gap between two studies (30 days); (4) sex: all females; (5) the animals seemed the same as those used in ""DiRenzo et al (2014) PLoS One"" (6) Bd loads were pooled across all Bd-exposed animals (i.e. naive-infected + survived-infected), so cannot be extracted.",no
Bd,Greener_et_al_2020,Greener,10.1038/s41467-020-19241-7,1,LiveFungi,EU,"Flanders, Belgium",51.09923685,4.439779314,Alytes obstetricans,Alytidae,captive,split,unclear,unclear,no,juvenile,juvenile,SAME,laboratory,JEL423,GPL,high,unclear,unclear,unclear,unclear,99,Fig 3a. Toads exposed to hypo-virulent Bd (without infected at the start of post-treatment exposure to hyper-virulent BdJEL),"(1) their model included ""sex"" but animal sex was not shown in raw data; 
(2) time_interval = the final measurement date of ""infection"" in Source data_Figure 3 
(3) Only the toads without infection (Load_dec = 0 in ""Reinfection Alytes: loads and survival"") at the start of post-treatment Bd exposure (Time = 0 in ""Reinfection Alytes: loads and survival"") were considered as focal animals
(4) ""Underlying mechanism"" for the protective effect of infection with a low-virulence Bd isolate: a  pathogen-mediated effect (e.g. niche pre-emption or competitive exclusion). The low-virulence strain can colonise the hostÕs skin without causing lethal disease, potentially occupying infection niches or outcompeting the hypervirulent strain during subsequent exposure.
(5) Do not consider another set of BdBE3 experiment (Figure 3b) -> there are infected before post-treatment Bd exposure: see text ""Exposure to BdBE3 resulted in ""infection in ALL animals"" in the absence of mortality and a median peak load of 140 GE (range 14Ð1164 GE).",yes
Bsal,Greener_et_al_2020,Greener,10.1038/s41467-020-19241-7,1,LiveFungi,EU,"Merelbeke, Belgium",51.04685398,3.727373297,Pleurodeles waltl,Salamandridae,unclear,split,unclear,unclear,no,juvenile,juvenile,NA,laboratory,Bsal ==> AMFP18/02,unclear,unclear,unclear,unclear,unclear,unclear,21,Fig 4a,NA,yes
Bsal,Greener_et_al_2020,Greener,10.1038/s41467-020-19241-7,2,LiveFungi,EU,"Merelbeke, Belgium",51.04685398,3.727373297,Salamandra salamandra,Salamandridae,unclear,split,unclear,unclear,no,juvenile,juvenile,NA,laboratory,Bsal ==> AMFP18/02,unclear,unclear,unclear,unclear,unclear,unclear,21,Fig 4b,NA,yes
Bsal,Greener_et_al_2020,Greener,10.1038/s41467-020-19241-7,3,LiveFungi,EU,"Merelbeke, Belgium",51.04685398,3.727373297,Triturus marmoratus,Salamandridae,unclear,split,unclear,unclear,no,juvenile,juvenile,NA,laboratory,Bsal ==> AMFP18/02,unclear,unclear,unclear,unclear,unclear,unclear,21,Fig 4c,NA,yes
Bd,Harris_et_al_2009a,Becker_Harris_Walke_Gratwicke_Minbiole,10.1038/ismej.2009.27,1,Probiotics,USA,"California, USA",37.87143427,-122.255463,Rana muscosa,Ranidae,wild,split,unclear,unclear,no,juvenile,juvenile,SAME,laboratory,JEL215,unclear,unclear,Rana muscosa,same,unclear,unclear,2,NA,NA,no
Bd,Harris_et_al_2009b,Becker_Harris_Walke_Gratwicke_Minbiole,10.3354/dao02004,1,Probiotics,USA,"Virginia, USA",38.22850387,-79.42349181,Plethodon cinereus,Plethodontidae,wild,split,unclear,unclear,no,adult,adult,SAME,laboratory,JEL 215,unclear,unclear,unclear,unclear,unclear,unclear,3,NA,NA,no
Bd,Hauser_et_al_2024,Hauser_Grayfer,10.7554/eLife.92168,1,Other,USA,"Washington, USA",38.89984807,-77.04863139,Xenopus laevis,Pipidae,captive,unclear,unclear,unclear,no,juvenile,juvenile,SAME,laboratory,JEL197,GPL,unclear,unclear,unclear,unclear,unclear,0.5,mast cell enrichment via subcutaneous rSCF injection,"(1) no data of mortality and infection rate, 
(2) Neutrophils are expected to amplify the inflammation (and thus make Bd infection more severe). The experiment on ""neutrophils enrichment via subcetaneous rCSF3 administration"" is not considered because it is expected to increase Bd susceptibility.
(3) mechanism: 
(a) Mast cell-enriched frogs have greater Bd-inhibitory bacteria richness (despite less abundance of antifungal bacteria) during the post-treatment Bd exposure period (Fig 7C,D) --> hence, mast cell enrichment can serve as a ""selective substratum for commensal microbes"" 
(b) Mast cell enrichment did not improve direct Bd-killing capacities in vitro
(c) Mast-cell enrichment can upregulate the expression of AMP-enconding genes post-Bd exposure (in vitro), but not in vivo 
(d) Mast cell-enriched animal skins have greater transcripts of il4 than control animals --> this resulted in the next set of experiment (to test the difference in Bd load between il4-enriched animals versus control animals)
","yes, but difficult to understand"
Bd,Hauser_et_al_2024,Hauser_Grayfer,10.7554/eLife.92168,2,Other,USA,"Washington, USA",38.89984807,-77.04863139,Xenopus laevis,Pipidae,captive,unclear,unclear,unclear,no,juvenile,juvenile,SAME,laboratory,JEL197,GPL,unclear,unclear,unclear,unclear,unclear,0.5,Pleotropic anti-inflammatory cytokine (interleukin-4; il4) enrichment via subcetaneous rIL4 injection,"(1) no data of mortality and infection rate, 
(2) The authors first found that mast cellÐenriched animals exhibited greater il4 expression than control animals. Based on this, they manipulated subcutaneous IL-4 levels to test whether increasing its abundance could help reduce Bd loads.
(3) There are two types of IL-4 experiments: (a) animals were injected with rIL4 --> after 12 hours, exposed to Bd; (b) animals were first exposed to Bd --> after 1 day, injected with rIL4. I only included (a), as my inclusion criteria require that Bd exposure occurs after the resistance-enhancing treatment.","yes, but difficult to understand"
Bd,Kaganer_et_al_2023,Kaganer_Bunting,10.1098/rsos.220810,1,DeadFungi,USA,"New York, USA",42.44695115,-76.48177852,Cryptobranchus alleganiensis,Cryptobranchidae,wild,split,unclear,unclear,yes,juvenile,juvenile,SAME,laboratory,JEL422,unclear,unclear,Sachatamia albomaculata,different,unclear,unclear,26,high Bd dose for post-treatment Bd exposure,"(1) time_interval = Figure 1: Day 89 - Day 63. (2) method for post-treatment Bd exposure = topical onto the skin. (3) raw data were provided by the authors (4) although many animals were kept in a communal tank, the procedures for Bd inocuation and vacciniation were conducted in an individual container/bin for each individual (so technical replicate = number of animals)","yes, sought from the author"
Bd,Kaganer_et_al_2023,Kaganer_Bunting,10.1098/rsos.220810,2,DeadFungi,USA,"New York, USA",42.44695115,-76.48177852,Cryptobranchus alleganiensis,Cryptobranchidae,wild,split,unclear,unclear,yes,juvenile,juvenile,SAME,laboratory,JEL422,unclear,unclear,Sachatamia albomaculata,different,unclear,unclear,26,low Bd dose for post-treatment Bd exposure,"(1) time_interval = Figure 1: Day 89 - Day 63. (2) method for post-treatment Bd exposure = topical onto the skin. (3) raw data were provided by the authors (4) although many animals were kept in a communal tank, the procedures for Bd inocuation and vacciniation were conducted in an individual container/bin for each individual (so technical replicate = number of animals)","yes, sought from the author"
Bd,Knutie_et_al_2018,Rohr_McMahon_Civitello,10.1111/1365-2656.12769,1,Other,USA,"Florida, USA",27.05791317,-83.42374536,Osteopilus septentrionalis,Hylidae,wild,split,unclear,unclear,no,larva,larva,SAME,laboratory,SRS 812,unclear,unclear,Rana catesbeiana,different,unclear,unclear,1,"With atrazine in the environment [control = group (1); treated = group (3)], tadpole Bd exposure","(1) The author stated ""pollutants (i.e. herbicide atrazine) could increase infection risk"", so the exposure to atrazine is NOT considered as ""resistance-enhancing treatment""
(2) Metryrapone experiment is extracted because the authors assume ""Metyrapone exposure _ _ corticosterone _ _ microbiota diversity _ _ Bd resistance""
(3) Here I extracted data for the effect of metryrapone when atrazine was always in the treatment environment
(4) Tadpole and adult samples were collected from different individuals within the same replicate (tank)
(5) mortality was not reported","yes, but only one average value per replicate (tub) throughout the experiment"
Bd,Knutie_et_al_2018,Rohr_McMahon_Civitello,10.1111/1365-2656.12769,2,Other,USA,"Florida, USA",27.05791317,-83.42374536,Osteopilus septentrionalis,Hylidae,wild,split,unclear,unclear,no,larva,larva,SAME,laboratory,SRS 812,unclear,unclear,Rana catesbeiana,different,unclear,unclear,1,"Without atrazine in the environment [control = group (4); treated = group (2)], tadpole Bd exposure","(1) The author stated ""pollutants (i.e. herbicide atrazine) could increase infection risk"", so the exposure to atrazine is NOT considered as ""resistance-enhancing treatment""
(2) Metryrapone experiment is extracted because the authors assume ""Metyrapone exposure _ _ corticosterone _ _ microbiota diversity _ _ Bd resistance""
(3) Here I extracted data for the effect of metryrapone in the absence of atrazine
(4) Tadpole and adult samples were collected from different individuals within the same replicate (tank)
(5) mortality was not reported","yes, but only one average value per replicate (tub) throughout the experiment"
Bd,Knutie_et_al_2018,Rohr_McMahon_Civitello,10.1111/1365-2656.12769,3,Other,USA,"Florida, USA",28.05791317,-82.42374536,Osteopilus septentrionalis,Hylidae,wild,split,unclear,unclear,no,larva,juvenile,DIFFERENT,laboratory,SRS 812,unclear,unclear,Rana catesbeiana,different,unclear,unclear,78,"With atrazine in the environment [control = group (1); treated = group (3)], juvenile exposure","(1) The author stated ""pollutants (i.e. herbicide atrazine) could increase infection risk"", so the exposure to atrazine is NOT considered as ""resistance-enhancing treatment"".
(2) Metryrapone experiment is extracted because the authors assume ""Metyrapone exposure _ _ corticosterone _ _ microbiota diversity _ _ Bd resistance""
(3) time_interval = day 84 (adult Bd expousure) - day 6 (the end of tadpole water treatment) = 78 days (Fig 2) 
(4) metyrapone was redosed every three days. atrazine was not redosed
(5) Here I extracted data for the effect of metryrapone in the presence of atrazine
(6) Tadpole and adult samples were collected from different individuals within the same replicate (tank)
(7) life-stage = 1 month post-metamorphosis. The authors called it ""adult"", but I am not sure
(8) mortality was not reported","yes, but only one measure per animal throughout the experiment"
Bd,Knutie_et_al_2018,Rohr_McMahon_Civitello,10.1111/1365-2656.12769,4,Other,USA,"Florida, USA",28.05791317,-82.42374536,Osteopilus septentrionalis,Hylidae,wild,split,unclear,unclear,no,larva,juvenile,DIFFERENT,laboratory,SRS 812,unclear,unclear,Rana catesbeiana,different,unclear,unclear,78,"Without atrazine in the environment [control = group (4); treated = group (2)], juvenile exposure","(1) The author stated ""pollutants (i.e. herbicide atrazine) could increase infection risk"", so the exposure to atrazine is NOT considered as ""resistance-enhancing treatment"".
(2) Metryrapone experiment is extracted because the authors assume ""Metyrapone exposure _ _ corticosterone _ _ microbiota diversity _ _ Bd resistance""
(3) time_interval = day 84 (adult Bd expousure) - day 6 (the end of tadpole water treatment) = 78 days (Fig 2) 
(4) metyrapone was redosed every three days. atrazine was not redosed
(5) Here I extracted data for the effect of metryrapone in the absence of atrazine
(6) Tadpole and adult samples were collected from different individuals within the same replicate (tank)
(7) life-stage = 1 month post-metamorphosis. The authors called it ""adult"", but I am not sure
(8) mortality was not reported","yes, but only one measure per animal throughout the experiment"
Bd,Korpita_PhD_thesis,McKenzie,NA,1,Probiotics,USA,"Colorado, USA",39.85686705,-105.0089233,Anaxyrus boreas,Bufonidae,wild,unclear,unclear,unclear,no,larva,juvenile,DIFFERENT,semi-natural,unclear,unclear,unclear,unclear,unclear,unclear,unclear,0,Chapter 3- South Cottonwood,"(1) Browns Creek is a Bd-na•ve environment, so experiment in Browns Creeks was excluded (as no post-treatment Bd exposure). (2) In South Cottonwood, the treatment started when focal individuals were late-larval stage (Gosner stage 39-41), The treatment continued for 15 days, and the author said ""we did observe treatment of all metamorphosis stage at South Cottonwood"". Therefore, I chose ""life_stage_treated = larva"" and ""life_stage_tested = juvenile"". (3) The probotic treatment ends on Day4; the animals were swabbed at Day 8 and Day 15 (selecting 10 individuals per container; n = 3 container per treatment); The animals were released at Day 16 but the recapture rate is low (34 [see Figure 3.3] out of 212 [page 37]= 16%). Therefore, I only considered the data on Day 8 and Day 15. (4) While the experiment was in the wild pond, but the animals were housed in containers, so I considered this as 'semi-natural'. (5)Exclude ""Chapter 2"": already published (the published paper has been screened from meta-analysis). Exclude ""Chapter"" 4: habitat manipulation via environmental microbiome augmentation. Exclude ""Chapter 5"": no resistance-enhancing treatment tested.",no
Bd,Madison_et_al_2019,Madison,10.1098/rspb.2019.1833,1,Probiotics,USA,"South Dakota, USA",42.78852193,-96.92540248,Acris blanchardi,Hylidae,wild,unclear,unclear,unclear,no,juvenile,juvenile,SAME,laboratory,JEL423,GPL,high,unclear,unclear,unclear,unclear,3,frogs washed (via pipetting sterilized spring water) before Serratia marcescens inoculation,"(1) I exclude the individuals that tested Bd postive at capture (Day 1; see Fig S7B), because there was not clearance procedure in this study, so they were not Bd negative at the beginning of the post-treatment Bd exposure period. (2) about the predictive effect of treatment: Washed vs unwashed: no directional prediction, the authors treated it as exploratory. (3) Bd load was not reported (only infected or not)","yes, but only infection rate but not Bd loads"
Bd,Madison_et_al_2019,Madison,10.1098/rspb.2019.1833,2,Probiotics,USA,"South Dakota, USA",42.78852193,-96.92540248,Acris blanchardi,Hylidae,wild,unclear,unclear,unclear,no,juvenile,juvenile,SAME,laboratory,JEL423,GPL,high,unclear,unclear,unclear,unclear,3,frogs unwashed before Serratia marcescens inoculation,"(1) I exclude the individuals that tested Bd postive at capture (Day 1; see Fig S7B), because there was not clearance procedure in this study, so they were not Bd negative at the beginning of the post-treatment Bd exposure period. (2) about the predictive effect of treatment: Washed vs unwashed: no directional prediction, the authors treated it as exploratory. (3) Bd load was not reported (only infected or not)","yes, but only infection rate but not Bd loads"
Bsal,McCartney_MS_thesis,Rollins-Smith_Woodhams,NA,1,LiveFungi,USA,"Massachusetts, USA",42.31445305,-71.0419953,Notophthalmus viridescens,Salamandridae,wild,unclear,unclear,unclear,no,juvenile,juvenile,SAME,laboratory,Bsal ==> from Salamandra salamandra,unclear,unclear,Salamandra salamandra,different,unclear,unclear,42,Chapter 2 - Juvenile,"(1) I only considered the second re-exposure because the infection rate of the first re-exposure is low (only 5% in total without individual report for each treatment)
(2) time_interval = 14 + 28 days = 2 weeks lower-temperature acclimation + 1 month for the first re-exposure (which failed due to low infection rate).",no
Bsal,McCartney_MS_thesis,Rollins-Smith_Woodhams,NA,2,LiveFungi,USA,"Tennessee, USA",35.95459234,-83.92944567,Notophthalmus viridescens,Salamandridae,wild,unclear,unclear,unclear,no,adult,adult,SAME,laboratory,Bsal ==> unclear ,unclear,unclear,unclear,unclear,unclear,unclear,7,Chapter 3 - Adult,NA,no
Bd,McMahon_et_al_2014,Rohr_McMahon_Civitello,10.1038/nature13491,1,LiveFungi,USA,"Florida, USA",28.05791317,-82.42374536,Osteopilus septentrionalis ,Hylidae,wild,split,unclear,unclear,no,juvenile,juvenile,SAME,laboratory,SRS 812,unclear,unclear,Rana catesbeiana,different,unclear,unclear,1,First immunological resistance - exposure period 3 (Extended Data Table 3). Clean infection using 32C (Extended Data Table 2),"(1) Mechanism: Increased number of ""infection + clearance"" cycles elevates lymphocyte abundance in the spleen (Fig. 3).
(2) Life stage: Not specified. Frogs were 5 months post-metamorphosis, but this species typically reaches sexual maturity at 6Ð12 months. I considered them ""juvenile/subadult"".
(3) Time_interval: Unclear. No rest period or gap between immunisation cycles was mentioned. Since post-treatment Bd exposure corresponds to the fourth cycle, I assumed it started immediatelyÑconsistent with the approach used by McMahon in other studies (2024, J Appl Ecol).
(4) Behaviour experiments were not extracted because the first and second Bd exposure data came from the same individuals (i.e., repeated measurements over time). The procedure therefore differed across Exposure 0, 1, and 2, with increasing handling over exposures and variation in the timing of estimates
",no
Bd,McMahon_et_al_2014,Rohr_McMahon_Civitello,10.1038/nature13491,2,LiveFungi,USA,"Florida, USA",28.05791317,-82.42374536,Osteopilus septentrionalis ,Hylidae,wild,split,unclear,unclear,no,juvenile,juvenile,SAME,laboratory,SRS 812,unclear,unclear,Rana catesbeiana,different,unclear,unclear,1,First immunological resistance - exposure period 4 (Extended Data Table 3). Clean infection using 32C (Extended Data Table 2),"(1) Mechanism: Increased number of ""infection + clearance"" cycles elevates lymphocyte abundance in the spleen (Fig. 3).
(2) Life stage: Not specified. Frogs were 5 months post-metamorphosis, but this species typically reaches sexual maturity at 6Ð12 months. I considered them ""juvenile/subadult"".
(3) Time_interval: Unclear. No rest period or gap between immunisation cycles was mentioned. Since post-treatment Bd exposure corresponds to the fourth cycle, I assumed it started immediatelyÑconsistent with the approach used by McMahon in other studies (2024, J Appl Ecol).
(4) Behaviour experiments were not extracted because the first and second Bd exposure data came from the same individuals (i.e., repeated measurements over time). The procedure therefore differed across Exposure 0, 1, and 2, with increasing handling over exposures and variation in the timing of estimates",no
Bd,McMahon_et_al_2014,Rohr_McMahon_Civitello,10.1038/nature13491,3,LiveFungi,USA,"Florida, USA",28.05791317,-82.42374536,Osteopilus septentrionalis ,Hylidae,wild,split,unclear,unclear,no,juvenile,juvenile,SAME,laboratory,SRS 812,unclear,unclear,Rana catesbeiana,different,unclear,unclear,1,Second immunological resistance  - exposure period 4 (Extened Data Table 3). Clean infection using 30C (Extended Data Table 2),"(1) Mechanism: Increased number of ""infection + clearance"" cycles elevates lymphocyte abundance in the spleen (Fig. 3).
(2) Life stage: Not specified. Frogs were 5 months post-metamorphosis, but this species typically reaches sexual maturity at 6Ð12 months. I considered them ""juvenile/subadult"".
(3) Time_interval: Unclear. No rest period or gap between immunisation cycles was mentioned. Since post-treatment Bd exposure corresponds to the fourth cycle, I assumed it started immediatelyÑconsistent with the approach used by McMahon in other studies (2024, J Appl Ecol).
(4) frogs across all treatments (including those for killed Bd incoluation) were exposed to the same temperature regimes (Extended Data Table 1 and Table 3) -> so they also experienced the temperature increased for heat clearance
(5) Behaviour experiments were not extracted because the first and second Bd exposure data came from the same individuals (i.e., repeated measurements over time). The procedure therefore differed across Exposure 0, 1, and 2, with increasing handling over exposures and variation in the timing of estimates",no
Bd,McMahon_et_al_2021,Rohr_McMahon_Civitello,10.1371/journal.pone.0258185,1,SynChem,USA,"Florida, USA",29.05791317,-83.42374536,Osteopilus septentrionalis,Hylidae,wild,split,unclear,unclear,no,juvenile,adult,DIFFERENT,laboratory,JEL 419 (from Panama),unclear,unclear,unclear,unclear,unclear,unclear,896,NA,"(1) Life_stage_treated: 4 weeks post-metamorphosis. = juveniles
(2) Life_stage_tested for Bd: 4 weeks post-metamorphosis plus 2.5 years (130 weeks). The Bd exposure occurred 2 weeks before the end of the 2.5 years, so 4 + 130 _ 2 = 132 weeks post-metamorphosis. Cuban tree frogs take approximately 17 weeks (males) or 36 weeks (females) to become sexually mature (see ref [20]), so at 132 weeks post-metamorphosis, all individuals were sexually mature.
(3) While the method stated ""the frogs were weighed every week... approximately 2.5 years (~130 weeks)"". However, when I check the supplementary information S1 Raw Data, the weight data were only shown until Week 82 + 6 weeks (45 Days post-Bd exposure) = 88 weeks (not 130 weeks). Also see Fig 2","yes, but only one measure per animal throughout the experiment"
Bd,McMahon_et_al_2023,Rohr_McMahon_Civitello,10.3354/dao03753,1,DeadFungi,USA,"Florida, USA",28.05791317,-82.42374536,Pseudacris regilla,Hylidae,wild,split,unclear,unclear,no,juvenile,juvenile,SAME,laboratory,JEL 419 (from Panama),unclear,unclear,unclear,unclear,unclear,2004,1,NA,"(1) life stage = juvenile = recently metamorphosed, after Gosner stage 46.
(2) This study investigated two types of resistance-enhancing intervention, with three treatment groups: (1) sham control, (2) killed Bd, (3) Bd metabolites + killed Bd. I compared (1) vs (2) for the effect of ""dead pathogen"". 
(3) The comparison between (2) and (3) may be used to test the effect of Ônatural chemicalsÕ in the presence of killed Bd. However, I did not extract this comparison because the effect of natural chemicals in the presence of killed Bd may differ from the effect of natural chemicals alone, and it is unclear whether the two interventions act additively or interactively.",no
